date,tipo de interes,total
2021-07-01,Variable,31.8
2021-06-01,Variable,35.9
2021-05-01,Variable,37.0
2021-04-01,Variable,41.2
2021-03-01,Variable,43.3
2021-02-01,Variable,44.7
2021-01-01,Variable,48.3
2020-12-01,Variable,52.1
2020-11-01,Variable,51.9
2020-10-01,Variable,51.9
2020-09-01,Variable,52.3
2020-08-01,Variable,51.4
2020-07-01,Variable,48.5
2020-06-01,Variable,52.4
2020-05-01,Variable,47.6
2020-04-01,Variable,48.2
2020-03-01,Variable,47.0
2020-02-01,Variable,61.3
2020-01-01,Variable,58.9
2019-12-01,Variable,56.4
2019-11-01,Variable,57.2
2019-10-01,Variable,55.0
2019-09-01,Variable,61.6
2019-08-01,Variable,58.1
2019-07-01,Variable,56.1
2019-06-01,Variable,55.9
2019-05-01,Variable,57.6
2019-04-01,Variable,57.0
2019-03-01,Variable,58.2
2019-02-01,Variable,58.5
2019-01-01,Variable,62.8
2018-12-01,Variable,58.8
2018-11-01,Variable,60.9
2018-10-01,Variable,60.2
2018-09-01,Variable,60.1
2018-08-01,Variable,59.8
2018-07-01,Variable,60.0
2018-06-01,Variable,60.8
2018-05-01,Variable,59.7
2018-04-01,Variable,60.9
2018-03-01,Variable,62.2
2018-02-01,Variable,62.8
2018-01-01,Variable,62.7
2017-12-01,Variable,62.6
2017-11-01,Variable,63.7
2017-10-01,Variable,63.3
2017-09-01,Variable,63.6
2017-08-01,Variable,59.8
2017-07-01,Variable,62.2
2017-06-01,Variable,62.3
2017-05-01,Variable,61.0
2017-04-01,Variable,60.8
2017-03-01,Variable,61.6
2017-02-01,Variable,62.0
2017-01-01,Variable,63.1
2016-12-01,Variable,65.0
2016-11-01,Variable,65.9
2016-10-01,Variable,67.6
2016-09-01,Variable,67.3
2016-08-01,Variable,68.2
2016-07-01,Variable,72.2
2016-06-01,Variable,76.0
2016-05-01,Variable,79.7
2016-04-01,Variable,84.9
2016-03-01,Variable,87.1
2016-02-01,Variable,89.5
2016-01-01,Variable,89.8
2015-12-01,Variable,89.7
2015-11-01,Variable,91.1
2015-10-01,Variable,90.8
2015-09-01,Variable,91.3
2015-08-01,Variable,91.0
2015-07-01,Variable,90.5
2015-06-01,Variable,93.6
2015-05-01,Variable,94.5
2015-04-01,Variable,94.3
2015-03-01,Variable,94.7
2015-02-01,Variable,95.4
2015-01-01,Variable,94.7
2014-12-01,Variable,94.1
2014-11-01,Variable,94.3
2014-10-01,Variable,93.9
2014-09-01,Variable,94.9
2014-08-01,Variable,95.0
2014-07-01,Variable,95.2
2014-06-01,Variable,94.4
2014-05-01,Variable,94.8
2014-04-01,Variable,94.9
2014-03-01,Variable,93.8
2014-02-01,Variable,94.7
2014-01-01,Variable,94.7
2013-12-01,Variable,94.2
2013-11-01,Variable,94.4
2013-10-01,Variable,94.0
2013-09-01,Variable,93.4
2013-08-01,Variable,93.2
2013-07-01,Variable,93.1
2013-06-01,Variable,93.4
2013-05-01,Variable,94.5
2013-04-01,Variable,94.1
2013-03-01,Variable,95.6
2013-02-01,Variable,93.1
2013-01-01,Variable,95.7
2012-12-01,Variable,95.7
2012-11-01,Variable,95.3
2012-10-01,Variable,94.8
2012-09-01,Variable,93.5
2012-08-01,Variable,95.9
2012-07-01,Variable,95.7
2012-06-01,Variable,95.2
2012-05-01,Variable,95.8
2012-04-01,Variable,94.6
2012-03-01,Variable,96.1
2012-02-01,Variable,95.9
2012-01-01,Variable,95.0
2011-12-01,Variable,96.8
2011-11-01,Variable,96.4
2011-10-01,Variable,96.0
2011-09-01,Variable,95.8
2011-08-01,Variable,97.3
2011-07-01,Variable,96.0
2011-06-01,Variable,95.7
2011-05-01,Variable,96.2
2011-04-01,Variable,96.4
2011-03-01,Variable,96.6
2011-02-01,Variable,97.3
2011-01-01,Variable,97.6
2010-12-01,Variable,96.7
2010-11-01,Variable,97.4
2010-10-01,Variable,96.5
2010-09-01,Variable,97.6
2010-08-01,Variable,97.7
2010-07-01,Variable,97.3
2010-06-01,Variable,97.7
2010-05-01,Variable,97.6
2010-04-01,Variable,97.0
2010-03-01,Variable,96.9
2010-02-01,Variable,97.2
2010-01-01,Variable,97.3
2009-12-01,Variable,97.4
2009-11-01,Variable,97.2
2009-10-01,Variable,97.1
2009-09-01,Variable,96.5
2009-08-01,Variable,96.9
2009-07-01,Variable,96.9
2009-06-01,Variable,96.6
2009-05-01,Variable,96.9
2009-04-01,Variable,97.4
2009-03-01,Variable,97.0
2009-02-01,Variable,96.9
2009-01-01,Variable,96.6
