date,total,grupos_ipc
2013-04-01,2.5,alimentos y bebidas no alcoholicas
2013-03-01,2.4,alimentos y bebidas no alcoholicas
2013-02-01,2.7,alimentos y bebidas no alcoholicas
2013-01-01,3.2,alimentos y bebidas no alcoholicas
2012-12-01,3.2,alimentos y bebidas no alcoholicas
2012-11-01,3.2,alimentos y bebidas no alcoholicas
2012-10-01,2.9,alimentos y bebidas no alcoholicas
2012-09-01,2.5,alimentos y bebidas no alcoholicas
2012-08-01,2.0,alimentos y bebidas no alcoholicas
2012-07-01,1.6,alimentos y bebidas no alcoholicas
2012-06-01,2.1,alimentos y bebidas no alcoholicas
2012-05-01,1.8,alimentos y bebidas no alcoholicas
2012-04-01,2.2,alimentos y bebidas no alcoholicas
2012-03-01,2.3,alimentos y bebidas no alcoholicas
2012-02-01,2.4,alimentos y bebidas no alcoholicas
2012-01-01,1.9,alimentos y bebidas no alcoholicas
2011-12-01,1.9,alimentos y bebidas no alcoholicas
2011-11-01,2.0,alimentos y bebidas no alcoholicas
2011-10-01,2.0,alimentos y bebidas no alcoholicas
2011-09-01,2.3,alimentos y bebidas no alcoholicas
2011-08-01,2.2,alimentos y bebidas no alcoholicas
2011-07-01,2.5,alimentos y bebidas no alcoholicas
2011-06-01,2.4,alimentos y bebidas no alcoholicas
2011-05-01,2.5,alimentos y bebidas no alcoholicas
2011-04-01,2.1,alimentos y bebidas no alcoholicas
2011-03-01,1.7,alimentos y bebidas no alcoholicas
2011-02-01,1.5,alimentos y bebidas no alcoholicas
2011-01-01,1.0,alimentos y bebidas no alcoholicas
2010-12-01,0.8,alimentos y bebidas no alcoholicas
2010-11-01,0.5,alimentos y bebidas no alcoholicas
2010-10-01,0.1,alimentos y bebidas no alcoholicas
2010-09-01,-0.3,alimentos y bebidas no alcoholicas
2010-08-01,-0.4,alimentos y bebidas no alcoholicas
2010-07-01,-0.6,alimentos y bebidas no alcoholicas
2010-06-01,-1.2,alimentos y bebidas no alcoholicas
2010-05-01,-1.7,alimentos y bebidas no alcoholicas
2010-04-01,-2.2,alimentos y bebidas no alcoholicas
2010-03-01,-2.5,alimentos y bebidas no alcoholicas
2010-02-01,-3.2,alimentos y bebidas no alcoholicas
2010-01-01,-2.9,alimentos y bebidas no alcoholicas
2009-12-01,-2.9,alimentos y bebidas no alcoholicas
2009-11-01,-3.0,alimentos y bebidas no alcoholicas
2009-10-01,-2.8,alimentos y bebidas no alcoholicas
2009-09-01,-2.7,alimentos y bebidas no alcoholicas
2009-08-01,-2.3,alimentos y bebidas no alcoholicas
2009-07-01,-2.4,alimentos y bebidas no alcoholicas
2009-06-01,-1.9,alimentos y bebidas no alcoholicas
2009-05-01,-1.0,alimentos y bebidas no alcoholicas
2009-04-01,-0.1,alimentos y bebidas no alcoholicas
2009-03-01,0.7,alimentos y bebidas no alcoholicas
2009-02-01,1.7,alimentos y bebidas no alcoholicas
2009-01-01,2.2,alimentos y bebidas no alcoholicas
2008-12-01,2.7,alimentos y bebidas no alcoholicas
2008-11-01,3.3,alimentos y bebidas no alcoholicas
2008-10-01,3.9,alimentos y bebidas no alcoholicas
2008-09-01,6.0,alimentos y bebidas no alcoholicas
2008-08-01,6.8,alimentos y bebidas no alcoholicas
2008-07-01,6.9,alimentos y bebidas no alcoholicas
2008-06-01,6.9,alimentos y bebidas no alcoholicas
2008-05-01,6.5,alimentos y bebidas no alcoholicas
2008-04-01,6.4,alimentos y bebidas no alcoholicas
2008-03-01,7.0,alimentos y bebidas no alcoholicas
2008-02-01,7.0,alimentos y bebidas no alcoholicas
2008-01-01,6.8,alimentos y bebidas no alcoholicas
2007-12-01,6.9,alimentos y bebidas no alcoholicas
2007-11-01,6.7,alimentos y bebidas no alcoholicas
2007-10-01,6.1,alimentos y bebidas no alcoholicas
2007-09-01,4.1,alimentos y bebidas no alcoholicas
2007-08-01,3.2,alimentos y bebidas no alcoholicas
2007-07-01,3.0,alimentos y bebidas no alcoholicas
2007-06-01,3.4,alimentos y bebidas no alcoholicas
2007-05-01,3.8,alimentos y bebidas no alcoholicas
2007-04-01,3.8,alimentos y bebidas no alcoholicas
2007-03-01,2.9,alimentos y bebidas no alcoholicas
2007-02-01,2.5,alimentos y bebidas no alcoholicas
2007-01-01,2.4,alimentos y bebidas no alcoholicas
2006-12-01,2.6,alimentos y bebidas no alcoholicas
2006-11-01,3.7,alimentos y bebidas no alcoholicas
2006-10-01,4.3,alimentos y bebidas no alcoholicas
2006-09-01,4.4,alimentos y bebidas no alcoholicas
2006-08-01,4.2,alimentos y bebidas no alcoholicas
2006-07-01,4.5,alimentos y bebidas no alcoholicas
2006-06-01,3.4,alimentos y bebidas no alcoholicas
2006-05-01,2.5,alimentos y bebidas no alcoholicas
2006-04-01,2.5,alimentos y bebidas no alcoholicas
2006-03-01,3.2,alimentos y bebidas no alcoholicas
2006-02-01,3.9,alimentos y bebidas no alcoholicas
2006-01-01,4.4,alimentos y bebidas no alcoholicas
2005-12-01,4.1,alimentos y bebidas no alcoholicas
2005-11-01,3.1,alimentos y bebidas no alcoholicas
2005-10-01,2.9,alimentos y bebidas no alcoholicas
2005-09-01,2.7,alimentos y bebidas no alcoholicas
2005-08-01,2.8,alimentos y bebidas no alcoholicas
2005-07-01,2.7,alimentos y bebidas no alcoholicas
2005-06-01,3.6,alimentos y bebidas no alcoholicas
2005-05-01,4.1,alimentos y bebidas no alcoholicas
2005-04-01,4.4,alimentos y bebidas no alcoholicas
2005-03-01,4.2,alimentos y bebidas no alcoholicas
2005-02-01,4.1,alimentos y bebidas no alcoholicas
2005-01-01,3.9,alimentos y bebidas no alcoholicas
2004-12-01,3.7,alimentos y bebidas no alcoholicas
2004-11-01,3.7,alimentos y bebidas no alcoholicas
2004-10-01,3.2,alimentos y bebidas no alcoholicas
2004-09-01,3.0,alimentos y bebidas no alcoholicas
2004-08-01,3.8,alimentos y bebidas no alcoholicas
2004-07-01,4.3,alimentos y bebidas no alcoholicas
2004-06-01,4.5,alimentos y bebidas no alcoholicas
2004-05-01,4.5,alimentos y bebidas no alcoholicas
2004-04-01,4.2,alimentos y bebidas no alcoholicas
2004-03-01,3.7,alimentos y bebidas no alcoholicas
2004-02-01,3.4,alimentos y bebidas no alcoholicas
2004-01-01,3.2,alimentos y bebidas no alcoholicas
2003-12-01,3.4,alimentos y bebidas no alcoholicas
2003-11-01,3.6,alimentos y bebidas no alcoholicas
2003-10-01,3.8,alimentos y bebidas no alcoholicas
2003-09-01,4.4,alimentos y bebidas no alcoholicas
2003-08-01,3.9,alimentos y bebidas no alcoholicas
2003-07-01,3.7,alimentos y bebidas no alcoholicas
2003-06-01,3.5,alimentos y bebidas no alcoholicas
2003-05-01,3.5,alimentos y bebidas no alcoholicas
2003-04-01,3.7,alimentos y bebidas no alcoholicas
2003-03-01,4.4,alimentos y bebidas no alcoholicas
2003-02-01,5.0,alimentos y bebidas no alcoholicas
2003-01-01,5.2,alimentos y bebidas no alcoholicas
2002-12-01,4.8,alimentos y bebidas no alcoholicas
2002-11-01,4.8,alimentos y bebidas no alcoholicas
2002-10-01,5.1,alimentos y bebidas no alcoholicas
2002-09-01,4.9,alimentos y bebidas no alcoholicas
2002-08-01,4.6,alimentos y bebidas no alcoholicas
2002-07-01,4.5,alimentos y bebidas no alcoholicas
2002-06-01,4.6,alimentos y bebidas no alcoholicas
2002-05-01,4.7,alimentos y bebidas no alcoholicas
2002-04-01,4.7,alimentos y bebidas no alcoholicas
2002-03-01,4.3,alimentos y bebidas no alcoholicas
2002-02-01,4.4,alimentos y bebidas no alcoholicas
2002-01-01,,alimentos y bebidas no alcoholicas
2022-09-01,13.9,vivienda. agua. electricidad. gas y otros combustibles
2022-08-01,27.1,vivienda. agua. electricidad. gas y otros combustibles
2022-07-01,24.1,vivienda. agua. electricidad. gas y otros combustibles
2022-06-01,19.0,vivienda. agua. electricidad. gas y otros combustibles
2022-05-01,17.5,vivienda. agua. electricidad. gas y otros combustibles
2022-04-01,18.9,vivienda. agua. electricidad. gas y otros combustibles
2022-03-01,38.1,vivienda. agua. electricidad. gas y otros combustibles
2022-02-01,29.4,vivienda. agua. electricidad. gas y otros combustibles
2022-01-01,20.5,vivienda. agua. electricidad. gas y otros combustibles
2021-12-01,27.6,vivienda. agua. electricidad. gas y otros combustibles
2021-11-01,19.1,vivienda. agua. electricidad. gas y otros combustibles
2021-10-01,23.9,vivienda. agua. electricidad. gas y otros combustibles
2021-09-01,17.1,vivienda. agua. electricidad. gas y otros combustibles
2021-08-01,13.6,vivienda. agua. electricidad. gas y otros combustibles
2021-07-01,10.6,vivienda. agua. electricidad. gas y otros combustibles
2021-06-01,12.9,vivienda. agua. electricidad. gas y otros combustibles
2021-05-01,12.5,vivienda. agua. electricidad. gas y otros combustibles
2021-04-01,12.3,vivienda. agua. electricidad. gas y otros combustibles
